"season","horizon","Sample_name","Sample.position","Easotope.Name","ID","d13C","d18O","D47","Type","Sample.description","Height","D47_SD","N","mean_D47","sd_D47","D47_pooled_SD","D47_se","D47_CL95","T47_sample","T47_max_sample","T47_min_sample","T47_95CL_sample","d18Ow","d18Ow_min","d18Ow_max","d18Ow_95CL","T47_mean_all","T47_95CL_all","d18Ow_mean_all","d18Ow_95CL_all","T47_horizon","T47_max_horizon","T47_min_horizon","d18Ow_horizon","d18Ow_max_horizon","d18Ow_min_horizon","T47_season","T47_max_season","T47_min_season","d18Ow_season","d18Ow_max_season","d18Ow_min_season","T47_season_horizon","T47_max_season_horizon","T47_min_season_horizon","T47_95CL_season_horizon","d18Ow_season_horizon","d18Ow_max_season_horizon","d18Ow_min_season_horizon","d18Ow_95CL_season_horizon"
"first quarter","Zk13-6-4","N-9-p","R66","15","2023-08-23 05:04 CST",-6.54,-4.05,0.611,"sample","protoconch","?4",0.0280474077920924,2,0.6005,0.0148492424049175,0.0317357382749469,0.0224405557401764,0.285134295628222,19.3529689950124,34.8687249544717,5.96806979080856,14.4503275818316,-4.06774907949024,-0.492690102656289,-7.15182723714089,-3.3295685672423,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,22.3497449331948,26.4242265437244,18.4371154606441,3.99355554154013,-3.52058104457878,-2.58176039699131,-4.42210857281625,0.920174087912473
"first quarter","Zk13-6-4","N-7-b1","R59","10","2023-07-21 02:34 CST",-6.65,-4.34,0.614,"sample","middle whorls","?6",0.0280474077920924,3,0.608666666666667,0.0234591844132172,0.036564879559343,0.0211107430564729,0.0908321962389728,18.397594742265,32.7752533369444,5.87346928523726,13.4508920258536,-4.57788139579147,-1.26505683480543,-7.46362458865501,-3.09928387692479,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,22.3497449331948,26.4242265437244,18.4371154606441,3.99355554154013,-3.52058104457878,-2.58176039699131,-4.42210857281625,0.920174087912473
"no season","Zk13-21","N-3-b3","R5","8","2023-06-06 14:00 CST",-4.85,-3.53,0.586,"sample","aperture","no height",0.0280474077920924,2,0.5995,0.0190918830920368,0.0339287058971592,0.0239912180167653,0.304837327991223,27.6975681458291,45.9397358906892,12.2642850890541,16.8377254008176,-1.62503038114537,2.57823407619568,-5.18108638501059,-3.87966023060313,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,23.1042057646121,104.630778417537,-21.4206153916645,63.0256969046009,-2.79840880999721,15.9865157644095,-13.0575841916278,14.5220499780186
"no season","Zk13-6-1","N-1-p","R1","1","2023-06-02 13:41 CST",-3.21,-2.15,0.59,"sample","protoconch","no height",0.0280474077920924,3,0.580666666666667,0.0144683562761405,0.031559315854265,0.0182207795039003,0.0783976866706197,26.3143536091881,39.6726737807159,14.5330879369326,12.5697929218917,-0.563743408021184,2.51421054855205,-3.27832075185885,-2.89626565020545,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,30.3435959451878,33.7026307446069,27.0925112559454,3.30505974433075,-0.148346556408351,0.625624595531542,-0.897444411072489,0.761534503302016
"no season","Zk13-6-1","N-2-b","R13","4","2023-06-03 12:07 CST",-4.09,-2.97,0.597,"sample","body whorl","no height",0.0280474077920924,3,0.578666666666667,0.0160727512683216,0.0323263115308453,0.0186636046642412,0.0803030095555623,23.9389614506089,37.3062725470259,12.1618331707595,12.5722196881332,-1.93106879018227,1.14895680807047,-4.64469281779736,-2.89682481293392,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,30.3435959451878,33.7026307446069,27.0925112559454,3.30505974433075,-0.148346556408351,0.625624595531542,-0.897444411072489,0.761534503302016
"no season","Zk13-6-1","N-5-b1","R12","4","2023-09-25 22:32 CST",-3.57,-2.88,0.559,"sample","part body whorl","no height",0.0280474077920924,2,0.574,0.0212132034355964,0.0351661354694531,0.024866212858575,0.315955191594354,37.5640323135459,58.5997416652816,20.0813615150883,19.2591900750967,1.29834845934236,6.14528609799116,-2.72991670159256,-4.43760139979186,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,30.3435959451878,33.7026307446069,27.0925112559454,3.30505974433075,-0.148346556408351,0.625624595531542,-0.897444411072489,0.761534503302016
"no season","Zk13-6-1","N-6-b1","R4","7","2023-07-11 12:52 CST",-4.59,-2.77,0.585,"sample","middle whorls","no height",0.0280474077920924,2,0.5795,0.00777817459305203,0.0291059630291789,0.0205810238308973,0.261506702475472,28.0463770376451,43.5487287552456,14.6182269169031,14.4652509191712,-0.784659668745362,2.78731077309806,-3.87870347536795,-3.333007124233,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,30.3435959451878,33.7026307446069,27.0925112559454,3.30505974433075,-0.148346556408351,0.625624595531542,-0.897444411072489,0.761534503302016
"no season","Zk13-6-4","N-7-p","R16","9","2023-07-21 00:16 CST",-6.32,-3.74,0.622,"sample","protoconch","no height",0.0280474077920924,2,0.6265,0.00636396103067893,0.0287603387298538,0.0203366305451017,0.258401391350006,15.8949939836505,29.3381351071095,4.09832060022279,12.6199072534434,-4.5545175152879,-1.45701956057385,-7.27264502299014,-2.90781273120815,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,24.4432146476185,28.2398513566462,20.7865352224382,3.72665806710398,-2.62904808426609,-1.75424699923667,-3.47160094721086,0.858676973987093
"no season","Zk13-6-4","N-8-b2","R8","14","2023-08-22 19:52 CST",-6.96,-3.73,0.571,"sample","body whorl","no height",0.0280474077920924,2,0.577,0.00848528137423858,0.0293028511216217,0.0207202447361986,0.263275671801785,33.0606921869195,49.5128730425351,18.893063115657,15.3099049634391,-0.589287514534669,3.2015375674044,-3.85371817611591,-3.52762787176015,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,24.4432146476185,28.2398513566462,20.7865352224382,3.72665806710398,-2.62904808426609,-1.75424699923667,-3.47160094721086,0.858676973987093
"no season","Zk13-6-4","N-8-p","R17","12","2023-08-22 04:09 CST",-5.83,-3.36,0.595,"sample","protoconch","no height",0.0280474077920924,3,0.592,0.0088881944173156,0.0294220509797656,0.0169868290532786,0.0730884263958766,24.6118704926378,36.7896371832234,13.7652395431949,11.5121988200142,-2.16602062381617,0.639916401664369,-4.66524434488598,-2.65258037327517,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,24.4432146476185,28.2398513566462,20.7865352224382,3.72665806710398,-2.62904808426609,-1.75424699923667,-3.47160094721086,0.858676973987093
"no season","Zk13-6-4","N-9-b1","R9","16","2023-08-23 07:22 CST",-6.64,-4.97,0.606,"sample","middle whorls","no height",0.0280474077920924,3,0.594333333333333,0.0132035348802256,0.0309998454381512,0.0178977691085534,0.0770078851113427,20.9663456504264,33.3531998790521,9.96929416680695,11.6919528561226,-4.61600330635337,-1.76188942878983,-7.14988613668043,-2.6939983539453,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,24.4432146476185,28.2398513566462,20.7865352224382,3.72665806710398,-2.62904808426609,-1.75424699923667,-3.47160094721086,0.858676973987093
"no season","Zk13-6-4","N-9-b2","R10","17","2023-08-23 17:21 CST",-5.9,-3.16,0.591,"sample","body whorl","no height",0.0280474077920924,2,0.59,0.0014142135623731,0.0280830390779903,0.0198577073683737,0.252316095413601,25.9715208080594,40.566615753106,13.2406143600147,13.6630006965457,-1.65273714100013,1.71018796154517,-4.58612572349893,-3.14815684252205,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,26.7445568960767,29.322646986121,24.2312847852443,-1.62003489337709,-1.02600491871253,-2.19912984979009,24.4432146476185,28.2398513566462,20.7865352224382,3.72665806710398,-2.62904808426609,-1.75424699923667,-3.47160094721086,0.858676973987093
"third quarter","Zk13-21","N-10-b1","R29","19","2023-08-24 04:51 CST",-6.11,-1.5,0.584,"sample","body whorl","04/Jun",0.0280474077920924,2,0.5865,0.00353553390593274,0.0282693665273194,0.0199894607713156,0.253990181126068,28.3964019983319,43.4743704428124,15.2858169208247,14.0942767609938,0.565991243855276,4.04017752138534,-2.45488089381918,-3.24752920760226,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,27.6172457393392,29.0459656985417,26.2086001161047,-0.785845540386208,-0.456647393104524,-1.11041826463381,27.5815675368722,29.105393229012,26.080559052964,1.51241708802399,-0.665091965390436,-0.313980054759137,-1.01094645477019,0.348483200005529
"third quarter","Zk13-21","N-10-p","R28","18","2023-09-28 09:14 CST",-5.26,-1.64,0.585,"sample","protoconch","04/Jun",0.0280474077920924,2,0.5865,0.00212132034355964,0.0281275147116827,0.0198891563905552,0.252715693128192,28.0463770376451,42.9881575030297,15.0408279087081,13.9736647971608,0.345340331254638,3.78814689009901,-2.65132997495205,-3.21973843252553,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,27.6172457393392,29.0459656985417,26.2086001161047,-0.785845540386208,-0.456647393104524,-1.11041826463381,27.5815675368722,29.105393229012,26.080559052964,1.51241708802399,-0.665091965390436,-0.313980054759137,-1.01094645477019,0.348483200005529
"third quarter","Zk13-21","N-11-p","R37","20","2023-08-24 19:59 CST",-5.3,-2.52,0.577,"sample","protoconch","04/Jun",0.0280474077920924,2,0.5855,0.0120208152801713,0.0305148666039347,0.0215772691026451,0.274165198865745,30.8812289546406,47.6873404787245,16.4665797463115,15.6103803662065,0.118532017198287,3.99090794440658,-3.20281572665634,-3.59686183553146,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,27.6172457393392,29.0459656985417,26.2086001161047,-0.785845540386208,-0.456647393104524,-1.11041826463381,27.5815675368722,29.105393229012,26.080559052964,1.51241708802399,-0.665091965390436,-0.313980054759137,-1.01094645477019,0.348483200005529
"third quarter","Zk13-21","N-3-b1","R26","6","2023-06-05 19:37 CST",-5.43,-3.76,0.579,"sample","middle whorls","?6",0.0280474077920924,3,0.586666666666667,0.00680685928555405,0.0288615733664896,0.0166632371523789,0.0716961228201457,30.1650177620621,42.8057548204435,18.9293857700612,11.9381845251911,-1.28649360321149,1.626118622222,-3.87534890090755,-2.75073376156478,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,27.6172457393392,29.0459656985417,26.2086001161047,-0.785845540386208,-0.456647393104524,-1.11041826463381,27.5815675368722,29.105393229012,26.080559052964,1.51241708802399,-0.665091965390436,-0.313980054759137,-1.01094645477019,0.348483200005529
"third quarter","Zk13-6-1","N-5-b2","R45","5","2023-09-26 03:09 CST",-3.13,-3.05,0.574,"sample","aperture","04/Jun",0.0280474077920924,2,0.5845,0.0148492424049175,0.0317357382749469,0.0224405557401764,0.285134295628222,31.9651226918098,49.7023204980654,16.8629749385665,16.4196727797494,-0.161722882071482,3.92518905485377,-3.64148042890173,-3.78333474187775,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,27.6172457393392,29.0459656985417,26.2086001161047,-0.785845540386208,-0.456647393104524,-1.11041826463381,27.6975681458291,33.2977039317472,22.3936389846646,5.45203247354129,-1.05753038114537,0.232823486577684,-2.27963387450125,1.25622868053947
"third quarter","Zk13-6-1","N-5-p","R43","3","2023-09-25 15:05 CST",-3.29,-3.03,0.593,"sample","protoconch","04/Jun",0.0280474077920924,2,0.5875,0.00777817459305203,0.0291059630291789,0.0205810238308973,0.261506702475472,25.2893727803229,40.3483599861613,12.2108984046968,14.0687307907323,-1.67991410591637,1.78989861432288,-4.69338746435558,-3.24164303933923,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,27.6172457393392,29.0459656985417,26.2086001161047,-0.785845540386208,-0.456647393104524,-1.11041826463381,27.6975681458291,33.2977039317472,22.3936389846646,5.45203247354129,-1.05753038114537,0.232823486577684,-2.27963387450125,1.25622868053947
